CISP,Month,Year,Year month,Attempted murder,Rape,Missing people,Homicides,Thefts,Kidnapping,Area,Crimes
7,12,2005,2005-12-01,0,0,1,3,64,0,Santa Teresa,68
7,1,2006,2006-01-01,1,0,0,0,69,0,Santa Teresa,70
7,2,2006,2006-02-01,0,0,0,1,136,0,Santa Teresa,137
7,3,2006,2006-03-01,4,0,2,4,127,0,Santa Teresa,137
7,4,2006,2006-04-01,0,0,3,0,63,0,Santa Teresa,66
7,5,2006,2006-05-01,1,0,0,2,63,0,Santa Teresa,66
7,6,2006,2006-06-01,0,2,0,0,75,0,Santa Teresa,77
7,7,2006,2006-07-01,0,1,1,1,64,1,Santa Teresa,68
7,8,2006,2006-08-01,0,1,3,0,73,0,Santa Teresa,77
7,9,2006,2006-09-01,2,2,3,1,74,2,Santa Teresa,84
7,10,2006,2006-10-01,1,0,0,1,88,0,Santa Teresa,90
7,11,2006,2006-11-01,2,0,1,0,70,0,Santa Teresa,73
7,12,2006,2006-12-01,1,1,1,1,61,0,Santa Teresa,65
7,1,2007,2007-01-01,4,0,1,1,97,0,Santa Teresa,103
7,2,2007,2007-02-01,3,0,1,0,160,0,Santa Teresa,164
7,3,2007,2007-03-01,0,1,2,0,86,0,Santa Teresa,89
7,4,2007,2007-04-01,1,0,2,5,68,0,Santa Teresa,76
7,5,2007,2007-05-01,2,0,1,2,79,0,Santa Teresa,84
7,6,2007,2007-06-01,0,1,1,3,87,0,Santa Teresa,92
7,7,2007,2007-07-01,0,0,0,0,66,0,Santa Teresa,66
7,8,2007,2007-08-01,4,1,2,1,88,0,Santa Teresa,96
7,9,2007,2007-09-01,2,0,2,3,100,0,Santa Teresa,107
7,10,2007,2007-10-01,2,1,0,0,84,0,Santa Teresa,87
7,11,2007,2007-11-01,1,4,2,0,64,0,Santa Teresa,71
7,12,2007,2007-12-01,3,0,0,3,65,0,Santa Teresa,71
7,1,2008,2008-01-01,0,2,0,1,69,0,Santa Teresa,72
7,2,2008,2008-02-01,1,0,1,0,205,0,Santa Teresa,207
7,3,2008,2008-03-01,1,3,0,2,79,0,Santa Teresa,85
7,4,2008,2008-04-01,2,1,2,1,63,0,Santa Teresa,69
7,5,2008,2008-05-01,0,0,3,0,76,0,Santa Teresa,79
7,6,2008,2008-06-01,2,1,2,1,91,0,Santa Teresa,97
7,7,2008,2008-07-01,0,2,1,0,104,0,Santa Teresa,107
7,8,2008,2008-08-01,0,0,2,0,123,0,Santa Teresa,125
7,9,2008,2008-09-01,0,0,1,3,103,0,Santa Teresa,107
7,10,2008,2008-10-01,1,0,0,0,120,0,Santa Teresa,121
7,11,2008,2008-11-01,0,3,3,1,62,0,Santa Teresa,69
7,12,2008,2008-12-01,0,2,2,1,98,0,Santa Teresa,103
7,1,2009,2009-01-01,2,0,0,2,96,0,Santa Teresa,100
